1,フシギダネ,6,9,10,11,16,17,20,21,22,27,32,36,42,44,45,48,49,53,70,75,86,87,90,94,H1,H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,フシギソウ,6,9,10,11,16,17,20,21,22,27,32,36,42,44,45,48,49,53,70,75,86,87,90,94,H1,H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,フシギバナ,5,6,9,10,11,15,16,17,20,21,22,26,27,32,36,42,44,45,48,49,53,68,70,75,78,86,87,90,94,H1,H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ヒトカゲ,1,2,6,10,11,17,21,27,28,31,32,35,38,39,40,42,43,44,45,48,49,50,56,59,61,65,75,80,87,90,94,H1,H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,リザード,1,2,6,10,11,17,21,27,28,31,32,35,38,39,40,42,43,44,45,48,49,50,56,59,61,65,75,80,87,90,94,H1,H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,リザードン,1,2,5,6,10,11,15,17,21,22,26,27,28,31,32,35,38,39,40,42,43,44,45,48,49,50,52,56,58,59,61,65,68,75,78,80,82,87,90,94,H1,H2,H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ゼニガメ,6,7,10,13,14,17,18,21,27,28,31,32,39,42,44,45,48,55,56,74,87,90,94,H3,H4,H5,H6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,カメール,6,7,10,13,14,17,18,21,27,28,31,32,39,42,44,45,48,55,56,74,87,90,94,H3,H4,H5,H6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,カメックス,5,6,7,10,13,14,15,17,18,21,23,26,27,28,31,32,39,42,44,45,48,52,55,56,68,74,78,80,82,87,90,91,94,H3,H4,H5,H6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,キャタピー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
