ノーマル	ノーマル	1
ノーマル	ほのお	1
ノーマル	みず	1
ノーマル	くさ	1
ノーマル	でんき	1
ノーマル	こおり	1
ノーマル	かくとう	1
ノーマル	どく	1
ノーマル	じめん	1
ノーマル	ひこう	1
ノーマル	エスパー	1
ノーマル	むし	1
ノーマル	いわ	0.5
ノーマル	ゴースト	0
ノーマル	ドラゴン	1
ノーマル	あく	1
ノーマル	はがね	0.5
ほのお	ノーマル	1
ほのお	ほのお	0.5
ほのお	みず	0.5
ほのお	くさ	2
ほのお	でんき	1
ほのお	こおり	2
ほのお	かくとう	1
ほのお	どく	1
ほのお	じめん	1
ほのお	ひこう	1
ほのお	エスパー	1
ほのお	むし	2
ほのお	いわ	0.5
ほのお	ゴースト	1
ほのお	ドラゴン	0.5
ほのお	あく	1
ほのお	はがね	2
みず	ノーマル	1
みず	ほのお	2
みず	みず	0.5
みず	くさ	0.5
みず	でんき	1
みず	こおり	1
みず	かくとう	1
みず	どく	1
みず	じめん	2
みず	ひこう	1
みず	エスパー	1
みず	むし	1
みず	いわ	2
みず	ゴースト	1
みず	ドラゴン	0.5
くさ	ノーマル	1
くさ	ほのお	0.5
くさ	みず	2
くさ	くさ	0.5
くさ	でんき	1
くさ	こおり	1
くさ	かくとう	1
くさ	どく	0.5
くさ	じめん	2
くさ	ひこう	0.5
くさ	エスパー	1
くさ	むし	0.5
くさ	いわ	2
くさ	ゴースト	1
くさ	ドラゴン	0.5
くさ	あく	1
くさ	はがね	0.5
でんき	ノーマル	1
でんき	ほのお	1
でんき	みず	2
でんき	くさ	0.5
でんき	でんき	0.5
でんき	こおり	1
でんき	かくとう	1
でんき	どく	1
でんき	じめん	0
でんき	ひこう	2
でんき	エスパー	1
でんき	むし	1
でんき	いわ	1
でんき	ゴースト	1
でんき	ドラゴン	0.5
こおり	ノーマル	1
こおり	ほのお	0.5
こおり	みず	0.5
こおり	くさ	2
こおり	でんき	1
こおり	こおり	0.5
こおり	かくとう	1
こおり	どく	1
こおり	じめん	2
こおり	ひこう	2
こおり	エスパー	1
こおり	むし	1
こおり	いわ	1
こおり	ゴースト	1
こおり	ドラゴン	2
こおり	あく	1
こおり	はがね	0.5
かくとう	ノーマル	2
かくとう	ほのお	1
かくとう	みず	1
かくとう	くさ	1
かくとう	でんき	1
かくとう	こおり	2
かくとう	かくとう	1
かくとう	どく	0.5
かくとう	じめん	1
かくとう	ひこう	0.5
